method,q0,p0,dt,steps,initial_H,final_H,absolute_drift,max_band,min_q,max_q
explicit_euler,3.0,0.05,0.03,1000,1.0624744897959182,1.0635562883267213,0.0010817985308031464,0.0010834940559916184,3.0,16.36511280233478
rk4,3.0,0.05,0.03,1000,1.0624744897959182,1.0624744933030563,3.5071381354612186e-09,3.5071381354612186e-09,3.0,16.313062406618965
symplectic_euler,3.0,0.05,0.03,1000,1.0624744897959182,1.0625751320356889,0.00010064223977068742,0.0003414580212910412,3.0,16.324486062956858
leapfrog,3.0,0.05,0.03,1000,1.0624744897959182,1.0624740081682353,4.816276828467636e-07,8.678425418295888e-07,3.0,16.31304733044024
